25 2323
17 40 58
17 16 93
17 36 36
17 82 59
17 31 6
17 39 66
17 91 53
17 58 1
17 25 16
17 0 81
17 59 30
17 7 46
17 93 28
17 15 18
17 42 93
17 42 89
17 59 11
17 16 53
17 64 90
17 82 74
3 0 15
3 15 49
3 8 93
3 14 56
3 50 74
3 93 86
3 6 42
3 10 71
3 0 34
3 14 78
3 85 84
3 66 75
3 78 95
3 2 61
3 2 93
3 25 74
3 82 19
3 91 62
3 8 28
3 51 33
8 47 30
8 26 35
8 56 90
8 80 84
8 16 67
8 36 56
8 56 73
8 39 56
8 33 82
8 75 22
8 33 0
8 65 20
8 69 20
8 44 72
8 80 56
8 43 34
8 11 11
8 30 90
8 86 15
8 63 9
5 78 37
5 54 22
5 50 33
5 81 75
5 60 31
5 39 21
5 45 63
5 47 22
5 7 72
5 3 21
5 44 18
5 45 4
5 74 84
5 65 24
5 76 33
5 81 41
5 29 53
5 83 76
5 21 44
5 62 86
16 82 79
16 50 34
16 43 56
16 21 66
16 55 39
16 33 47
16 85 51
16 2 11
16 26 14
16 49 35
16 52 1
16 85 30
16 5 9
16 73 79
16 43 11
16 18 15
16 22 49
16 63 15
16 80 13
16 84 77
14 45 22
14 92 41
14 69 69
14 59 13
14 87 69
14 41 24
14 32 15
14 20 86
14 26 75
14 52 63
14 44 1
14 43 91
14 18 78
14 15 72
14 11 78
14 90 29
14 90 70
14 0 66
14 40 55
14 80 85
23 46 70
23 0 49
23 0 7
23 53 43
23 13 12
23 78 28
23 30 9
23 67 50
23 5 47
23 28 8
23 73 43
23 66 81
23 64 66
23 15 76
23 54 12
23 79 27
23 23 4
23 41 40
23 0 4
23 50 57
24 21 2
24 77 37
24 15 0
24 78 37
24 14 11
24 1 19
24 41 69
24 72 5
24 10 36
24 25 76
24 59 79
24 45 26
24 43 61
24 51 53
24 88 11
24 7 4
24 52 3
24 7 28
24 3 39
24 83 74
13 26 44
13 22 56
13 27 6
13 5 31
13 56 33
13 14 82
13 1 16
13 68 86
13 92 25
13 32 38
13 1 70
13 48 35
13 30 11
13 81 45
13 12 30
13 22 75
13 76 30
13 4 10
13 85 56
13 1 19
11 65 79
11 17 89
11 32 65
11 30 80
11 24 14
11 58 15
11 73 34
11 70 13
11 12 15
11 44 63
11 51 25
11 56 63
11 11 62
11 15 22
11 78 36
11 90 42
11 45 17
11 78 13
11 10 14
11 6 21
19 46 64
19 36 56
19 29 84
19 25 11
19 6 71
19 88 75
19 3 44
19 14 54
19 78 24
19 82 73
19 51 76
19 65 19
19 40 52
19 29 30
19 4 27
19 4 51
19 17 56
19 76 90
19 43 50
19 52 87
1 61 77
1 27 43
1 47 29
1 37 4
1 34 30
1 54 14
1 15 80
1 21 34
1 63 67
1 55 52
1 30 5
1 24 78
1 19 15
1 50 28
1 72 4
1 63 58
1 21 40
1 46 28
1 62 37
1 17 91
2 24 66
2 4 29
2 36 88
2 36 23
2 82 40
2 76 45
2 19 62
2 72 45
2 77 3
2 7 60
2 94 43
2 83 67
2 48 29
2 59 52
2 35 35
2 17 20
2 30 50
2 3 61
2 30 69
2 78 53
15 57 18
15 12 49
15 35 62
15 12 89
15 43 39
15 43 12
15 20 28
15 38 79
15 66 9
15 91 82
15 4 47
15 48 29
15 88 81
15 88 29
15 74 84
15 37 76
15 32 84
15 17 10
15 57 18
15 8 18
0 87 10
0 81 7
0 14 5
0 21 80
0 3 40
0 48 68
0 17 30
0 40 81
0 37 12
0 60 33
0 84 66
0 79 2
0 18 75
0 10 49
0 30 83
0 82 26
0 80 75
0 1 18
0 64 52
0 78 32
21 71 78
21 21 30
21 21 70
21 72 38
21 63 77
21 22 2
21 61 51
21 41 62
21 85 25
21 2 41
21 16 52
21 9 34
21 76 40
21 71 59
21 34 84
21 86 44
21 80 63
21 46 85
21 55 85
21 76 79
12 57 81
12 25 88
12 26 51
12 7 75
12 29 23
12 53 92
12 77 9
12 56 2
12 78 62
12 82 42
12 72 16
12 58 76
12 74 26
12 0 47
12 26 38
12 38 12
12 22 56
12 92 19
12 60 16
12 1 91
18 57 42
18 70 12
18 1 34
18 59 71
18 24 19
18 25 22
18 49 76
18 0 52
18 43 68
18 25 69
18 17 69
18 12 66
18 75 18
18 50 1
18 58 1
18 12 11
18 5 40
18 25 21
18 74 59
18 57 60
6 51 82
6 47 59
6 78 63
6 39 49
6 83 7
6 37 42
6 35 13
6 38 18
6 42 42
6 31 94
6 22 65
6 45 42
6 12 14
6 33 70
6 49 27
6 74 48
6 37 52
6 54 40
6 37 54
6 7 40
7 14 57
7 89 48
7 34 94
7 4 59
7 88 8
7 77 52
7 5 89
7 51 10
7 10 2
7 90 57
7 66 74
7 11 80
7 5 92
7 86 73
7 93 45
7 31 59
7 72 68
7 51 62
7 60 56
7 51 12
20 41 30
20 9 51
20 16 28
20 46 43
20 31 42
20 50 61
20 27 3
20 61 65
20 13 29
20 22 16
